"filename", "language", "PostCSS", "JavaScript", "XML", "PHP", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 0, 0, 51, 0, 0, 21, 17, 89
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 0, 0, 0, 22, 0, 0, 5, 4, 31
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Administrador.php", "PHP", 0, 0, 0, 15, 0, 0, 0, 7, 22
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\AnalisisReserva.php", "PHP", 0, 0, 0, 15, 0, 0, 0, 6, 21
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Cancelaciones.php", "PHP", 0, 0, 0, 6, 0, 0, 1, 4, 11
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Espacio.php", "PHP", 0, 0, 0, 27, 0, 0, 3, 7, 37
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Horario.php", "PHP", 0, 0, 0, 13, 0, 0, 0, 5, 18
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Notificacione.php", "PHP", 0, 0, 0, 6, 0, 0, 1, 4, 11
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Reporte.php", "PHP", 0, 0, 0, 6, 0, 0, 1, 4, 11
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Reserva.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 9, 41
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Rol.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 6, 18
